 "topicURI" , "topicLabel" , "catalog" , "subject" , "topicCount" ,
 "http://dbpedia.org/resource/K-nearest_neighbors_algorithm" , "KNN" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Lee_Sedol" , "Lee Se-dol" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/MAX_Light_Rail" , "MAX" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Nim" , "Nim" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Microsoft_Outlook" , "Outlook" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Seymour_Papert" , "Papert" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Resource_Description_Framework" , "RDF" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Ray_Kurzweil" , "Ray Kurzweil" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/SHRDLU" , "SHRDLU" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Support-vector_machine" , "SVM" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Toronto" , "Toronto" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Yoshua_Bengio" , "Yoshua Bengio" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Dice" , "dice" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Dimension" , "2D" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Tranche" , "A Notes" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Taylorcraft_Auster" , "A11" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Nissan_A_engine" , "A12" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Association_for_Computing_Machinery" , "ACM" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/AI_winter" , "AI Winter" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Advanced_Placement" , "AP" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Associated_Press" , "AP" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Wireless_access_point" , "AP" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Application_programming_interface_key" , "API key" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/AVG_AntiVirus" , "AVG" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Alag" , "Alag" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Alfred_Lennon" , "Alfred Lennon" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Alison_DiLaurentis" , "Alison" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Amazon_rainforest" , "Amazon" , "474" , "COMP" , "1" ,
